representation,target,alpha,fit_intercept,real_val_MAE,stress_val_MAE,selection_score
A_SOLUTION,score_completeness,100.0,True,11.312260072622726,16.99569214714898,13.585632902433227
A_SOLUTION,score_completeness,31.622776601683793,True,12.195296216366897,15.683057573106554,13.59040075906276
A_SOLUTION,score_completeness,316.22776601683796,True,10.549954884087862,18.23900095621745,13.625573312939697
A_SOLUTION,score_completeness,10.0,True,12.910043915705895,14.709430694580078,13.629798627255568
A_SOLUTION,score_completeness,1000.0,True,10.168465742424353,18.91775131225586,13.668179970356956
A_SOLUTION,score_completeness,3.1622776601683795,True,14.091093433437063,15.077696270412869,14.485734568227386
A_SOLUTION,score_completeness,1.0,True,15.92995213750583,16.523568471272785,16.167398671012613
A_SOLUTION,score_completeness,0.31622776601683794,True,18.067061580828767,17.230661816067165,17.732501674924126
A_SOLUTION,score_completeness,0.1,True,19.91453745827746,17.769792132907444,19.056639328129457
A_SOLUTION,score_completeness,0.03162277660168379,True,21.25516760527198,18.027095370822483,19.96393871149218
A_SOLUTION,score_completeness,0.01,True,22.16176844354886,18.043625089857315,20.51451110207224
A_SOLUTION,score_completeness,0.0031622776601683794,True,22.57665343782795,18.046130498250324,20.7644442619969
A_SOLUTION,score_completeness,0.001,True,22.689000713291453,18.05293909708659,20.834576066809507
A_SOLUTION,score_completeness,0.001,False,49.129952188748035,54.160440868801544,51.14214766076944
A_SOLUTION,score_completeness,0.0031622776601683794,False,49.14309914432355,54.16805055406358,51.153079708219565
A_SOLUTION,score_completeness,0.01,False,49.18421520403962,54.19176928202311,51.187236835233016
A_SOLUTION,score_completeness,0.03162277660168379,False,49.309755040638485,54.26335038079156,51.291193176699714
A_SOLUTION,score_completeness,0.1,False,49.64659978382623,54.454224268595375,51.569649577733884
A_SOLUTION,score_completeness,0.31622776601683794,False,50.762551108402995,54.99025387234158,52.45363221397843
A_SOLUTION,score_completeness,1.0,False,52.821270956921936,55.62622197469076,53.943251364029464
A_SOLUTION,score_completeness,3.1622776601683795,False,55.09560183624723,56.021817949083115,55.46608828138159
A_SOLUTION,score_completeness,10.0,False,56.716471088466356,56.40610800849067,56.59232585647608
A_SOLUTION,score_completeness,31.622776601683793,False,57.79137201451544,57.05017320315043,57.49489248996944
A_SOLUTION,score_completeness,100.0,False,58.581683815415225,57.05555555555556,57.97123251147136
A_SOLUTION,score_completeness,316.22776601683796,False,59.17805834670565,57.05555555555556,58.32905723024561
A_SOLUTION,score_completeness,1000.0,False,59.96339292134812,56.98498935169644,58.77203149348745
A_SOLUTION,score_effectiveness,1000.0,True,10.24526578988602,22.44827100965712,15.126467877794461
A_SOLUTION,score_effectiveness,316.22776601683796,True,11.341919799349201,21.293341954549152,15.322488661429183
A_SOLUTION,score_effectiveness,100.0,True,12.017013065850557,21.440165943569607,15.786274216938176
A_SOLUTION,score_effectiveness,31.622776601683793,True,12.487694953804585,22.19676250881619,16.371321975809224
A_SOLUTION,score_effectiveness,10.0,True,13.465072517964378,23.05487272474501,17.30099260067663
A_SOLUTION,score_effectiveness,3.1622776601683795,True,14.784148856775085,23.295324325561523,18.18861904428966
A_SOLUTION,score_effectiveness,1.0,True,16.38386404692237,21.541161325242783,18.446782958250534
A_SOLUTION,score_effectiveness,0.31622776601683794,True,18.333727537696042,19.640022701687283,18.85624560329254
A_SOLUTION,score_effectiveness,0.1,True,20.79976249808696,21.261552386813694,20.98447845357765
A_SOLUTION,score_effectiveness,0.03162277660168379,True,22.314315625091098,22.12578370836046,22.238902858398845
A_SOLUTION,score_effectiveness,0.01,True,23.324939443104302,22.455792744954426,22.97728076384435
A_SOLUTION,score_effectiveness,0.0031622776601683794,True,23.709235461790172,22.695382648044163,23.30369433629177
A_SOLUTION,score_effectiveness,0.001,True,23.824606938148612,22.737346649169922,23.389702822557137
A_SOLUTION,score_effectiveness,0.001,False,43.513573860054585,34.211825900607636,39.7928746762758
A_SOLUTION,score_effectiveness,0.0031622776601683794,False,43.54514597423041,34.21348423428006,39.81248127825027
A_SOLUTION,score_effectiveness,0.01,False,43.64099690451551,34.218613942464195,39.872043719694986
A_SOLUTION,score_effectiveness,0.03162277660168379,False,43.947661243267916,34.58388434516059,40.20215048402498
A_SOLUTION,score_effectiveness,0.1,False,44.733170694379666,34.961479398939346,40.82449417620354
A_SOLUTION,score_effectiveness,0.31622776601683794,False,46.097876591468925,36.10117636786567,42.099196502027624
A_SOLUTION,score_effectiveness,1.0,False,46.873929792375705,37.26984172397189,43.03229456501418
A_SOLUTION,score_effectiveness,3.1622776601683795,False,48.41854105422746,38.42368666330973,44.42059929786036
A_SOLUTION,score_effectiveness,10.0,False,49.62551399487168,39.30611779954698,45.497755516741805
A_SOLUTION,score_effectiveness,31.622776601683793,False,50.40985463982198,40.10743575625949,46.28888708639698
A_SOLUTION,score_effectiveness,100.0,False,51.38601107383842,40.60234859254625,47.07254608132155
A_SOLUTION,score_effectiveness,316.22776601683796,False,52.24506040473482,40.69558940993415,47.625272006814555
A_SOLUTION,score_effectiveness,1000.0,False,53.3587456710303,40.30725868542989,48.138150876790135
A_SOLUTION,score_factchecking,1000.0,True,6.594616562572877,20.879809697469074,12.308693816531356
A_SOLUTION,score_factchecking,316.22776601683796,True,7.591497962154559,20.368727578057182,12.702389808515608
A_SOLUTION,score_factchecking,100.0,True,8.627249874285798,19.48437542385525,12.97010009411358
A_SOLUTION,score_factchecking,31.622776601683793,True,9.686081274231867,18.385950300428604,13.166028884710562
A_SOLUTION,score_factchecking,10.0,True,10.981529691326084,17.986219618055557,13.783405662017874
A_SOLUTION,score_factchecking,3.1622776601683795,True,12.547524523379197,17.76790788438585,14.635677867781858
A_SOLUTION,score_factchecking,1.0,True,13.695194016641645,17.497539520263672,15.216132218090456
A_SOLUTION,score_factchecking,0.31622776601683794,True,15.235767136758833,17.422211752997505,16.1103449832543
A_SOLUTION,score_factchecking,0.1,True,17.067575255436683,18.23411708407932,17.534191986893738
A_SOLUTION,score_factchecking,0.03162277660168379,True,18.367385807322034,19.743950102064346,18.918011525218958
A_SOLUTION,score_factchecking,0.01,True,18.944034918030695,21.006024890475803,19.76883090700874
A_SOLUTION,score_factchecking,0.0031622776601683794,True,19.183353139393365,21.402386983235676,20.07096667693029
A_SOLUTION,score_factchecking,0.001,True,19.275765205497173,21.522963417900932,20.174644490458675
A_SOLUTION,score_factchecking,0.001,False,64.58245183460748,59.854454040527344,62.69125271697543
A_SOLUTION,score_factchecking,0.0031622776601683794,False,64.6188430216775,59.90586132473416,62.73365034290016
A_SOLUTION,score_factchecking,0.01,False,65.03487945670513,60.52302127414279,63.230136183680195
A_SOLUTION,score_factchecking,0.03162277660168379,False,65.35085171372143,60.981114069620766,63.60295665608116
A_SOLUTION,score_factchecking,0.1,False,66.55003396788639,62.00774150424533,64.73311698242996
A_SOLUTION,score_factchecking,0.31622776601683794,False,68.43935219209585,65.20827950371637,67.14692311674406
A_SOLUTION,score_factchecking,1.0,False,71.1982682356194,67.5194803873698,69.72675309631956
A_SOLUTION,score_factchecking,3.1622776601683795,False,74.34666820070636,68.67079152001276,72.07631752842892
A_SOLUTION,score_factchecking,10.0,False,76.82301343376957,69.32854864332411,73.82522751759139
A_SOLUTION,score_factchecking,31.622776601683793,False,78.46265846935671,69.72222222222223,74.96648397050292
A_SOLUTION,score_factchecking,100.0,False,79.90266474681114,69.72222222222223,75.83048773697558
A_SOLUTION,score_factchecking,316.22776601683796,False,80.95938409976105,69.72166040208604,76.46429462069105
A_SOLUTION,score_factchecking,1000.0,False,82.11979284927027,69.22354054450989,76.96129192736612
A_SOLUTION,score_logic,1000.0,True,5.998249338633978,17.11562262641059,10.445198653744622
A_SOLUTION,score_logic,316.22776601683796,True,7.126277183418844,16.199165132310654,10.755432362975569
A_SOLUTION,score_logic,100.0,True,8.342218598323083,16.06280411614312,11.430452805451097
A_SOLUTION,score_logic,31.622776601683793,True,9.55769803630772,16.638996124267578,12.390217271491665
A_SOLUTION,score_logic,10.0,True,10.723248268241313,17.728375540839302,13.525299177280509
A_SOLUTION,score_logic,3.1622776601683795,True,11.732796740176072,18.036360634697807,14.254222297984766
A_SOLUTION,score_logic,1.0,True,12.589455675722947,16.86912621392144,14.301323891002344
A_SOLUTION,score_logic,0.31622776601683794,True,14.470480449164091,15.837935977511936,15.017462660503227
A_SOLUTION,score_logic,0.1,True,16.464539599062793,16.218006981743706,16.365926552135157
A_SOLUTION,score_logic,0.03162277660168379,True,17.68333042201711,17.219606399536133,17.49784081302472
A_SOLUTION,score_logic,0.01,True,18.18402076835063,17.72025129530165,17.99851297913104
A_SOLUTION,score_logic,0.0031622776601683794,True,18.328885946700822,17.8837153116862,18.15081769269497
A_SOLUTION,score_logic,0.001,True,18.38058243936567,17.936763975355362,18.20305505376155
A_SOLUTION,score_logic,0.001,False,56.04945942892957,57.1034181382921,56.471042912674584
A_SOLUTION,score_logic,0.0031622776601683794,False,56.06199133574073,57.12137540181478,56.48574496217035
A_SOLUTION,score_logic,0.01,False,56.101187264741355,57.17748790317111,56.53170752011326
A_SOLUTION,score_logic,0.03162277660168379,False,56.219126829460485,57.348561180962456,56.67090057006128
A_SOLUTION,score_logic,0.1,False,56.559439644884705,58.265511406792534,57.24186834964784
A_SOLUTION,score_logic,0.31622776601683794,False,57.51957918992683,58.78706317477756,58.026572783867124
A_SOLUTION,score_logic,1.0,False,59.251460687438055,59.32658365037706,59.28150987261366
A_SOLUTION,score_logic,3.1622776601683795,False,60.386473399489674,60.151722484164765,60.29257303335971
A_SOLUTION,score_logic,10.0,False,61.325507249405135,61.17432742648654,61.2650353202377
A_SOLUTION,score_logic,31.622776601683793,False,62.2270743668969,61.79418479071723,62.05391853642503
A_SOLUTION,score_logic,100.0,False,63.29213016424606,62.248675929175484,62.874748470217824
A_SOLUTION,score_logic,316.22776601683796,False,63.972827946961814,62.405125776926674,63.34574707894776
A_SOLUTION,score_logic,1000.0,False,65.17926093357713,62.16018870141771,63.97163204071336
A_SOLUTION,score_originality,1000.0,True,9.020491301123776,11.924648920694986,10.18215434895226
A_SOLUTION,score_originality,316.22776601683796,True,9.566143035888672,12.069982528686523,10.567678833007813
A_SOLUTION,score_originality,100.0,True,10.151349537408175,12.623804304334852,11.140331444178846
A_SOLUTION,score_originality,31.622776601683793,True,10.824515442350018,13.462379455566406,11.879661047636574
A_SOLUTION,score_originality,10.0,True,11.464373460456507,14.225266774495443,12.56873078607208
A_SOLUTION,score_originality,3.1622776601683795,True,11.724152977786847,14.552648332383898,12.855551119625668
A_SOLUTION,score_originality,1.0,True,12.157597328299907,14.792954762776693,13.211740302090622
A_SOLUTION,score_originality,0.31622776601683794,True,12.946771650171991,15.92934481302897,14.139800915314783
A_SOLUTION,score_originality,0.1,True,14.570629347616167,18.224247614542644,16.03207665438676
A_SOLUTION,score_originality,0.03162277660168379,True,16.102250853581214,19.80328369140625,17.58266398871123
A_SOLUTION,score_originality,0.01,True,17.0719531614389,20.711531109280056,18.527784340575362
A_SOLUTION,score_originality,0.0031622776601683794,True,17.398043561337598,21.01807191636827,18.846054903349867
A_SOLUTION,score_originality,0.001,True,17.528445514280406,21.11629973517524,18.96358720263834
A_SOLUTION,score_originality,0.01,False,47.72987038341921,46.934902615017364,47.411883276058475
A_SOLUTION,score_originality,0.03162277660168379,False,47.744322022395345,47.032189263237846,47.45946891873234
A_SOLUTION,score_originality,0.001,False,47.900595935422984,46.89248911539713,47.497353207412644
A_SOLUTION,score_originality,0.0031622776601683794,False,47.896643681312675,46.90290747748481,47.49914919978153
A_SOLUTION,score_originality,0.1,False,47.83439687472671,47.33669238620334,47.63531507931736
A_SOLUTION,score_originality,0.31622776601683794,False,48.396048702410795,48.01990996466743,48.24559320731345
A_SOLUTION,score_originality,1.0,False,50.097955504460124,47.51745234595405,49.06575424105769
A_SOLUTION,score_originality,3.1622776601683795,False,51.88770844331428,47.0542000664605,49.95430509257277
