dataset,EXTERNAL_LOW_QUALITY_TEST,EXTERNAL_LOW_QUALITY_TEST,EXTERNAL_LOW_QUALITY_TEST,REAL_TEST,REAL_TEST,REAL_TEST,STRESS_TEST,STRESS_TEST,STRESS_TEST
,MAE,R2,bad_recall,MAE,R2,bad_recall,MAE,R2,bad_recall
model,,,,,,,,,
EMBEDDINGS_CATBOOST,9.4372,0.3724,0.8235,3.161,0.1157,,12.3595,0.216,0.8095
EMBEDDINGS_RIDGE,8.5672,0.4329,0.7647,5.5908,-1.7918,,11.3119,0.2751,0.8095
TFIDF_RIDGE,9.2717,0.4149,0.7059,3.3863,-0.095,,10.1512,0.4486,0.9048
